n,Karatsuba
1,3
2,85
3,167
4,331
5,495
6,782
7,905
8,1233
9,1356
10,1766
11,1848
12,2381
13,2586
14,2873
15,3365
16,3570
17,3939
18,4349
19,5005
20,5292
21,5128
22,5907
23,5948
24,6563
25,7383
26,7875
27,8695
28,8531
29,9884
30,9761
31,10663
32,10868
33,11483
34,12467
35,12672
36,13164
37,13861
38,14640
39,15214
40,15378
41,15747
42,16321
43,17182
44,18904
45,19519
46,19478
47,19560
48,19970
49,21733
50,23373
51,23988
52,24070
53,24726
54,23865
55,24070
56,26899
57,26858
58,28703
59,29605
60,29195
61,31163
62,30589
63,33254
64,32557
65,35140
66,35099
67,35263
68,35017
69,37026
70,38502
71,39158
72,39896
73,40388
74,40429
75,42930
76,44324
77,45431
78,44488
79,45062
80,46948
81,47235
82,46661
83,48014
84,52278
85,50966
86,50802
87,51458
88,50146
89,54410
90,56132
91,54123
92,59535
93,59002
94,60437
95,62979
96,62856
97,63635
98,63758
99,67407
100,67243
101,68514
102,67817
103,69006
104,71794
105,72737
106,71917
107,72286
108,74746
109,77616
110,79461
111,81962
112,81265
113,83643
114,82085
115,85898
116,84996
117,86185
118,87251
119,90244
120,90449
121,91515
122,94016
123,94918
124,96681
125,98403
126,95000
127,99428
128,100822
129,99387
130,98690
131,101150
132,105496
133,105824
134,107382
135,106685
136,106357
137,109473
138,111687
139,111482
140,114844
141,113942
142,115336
143,117960
144,117591
145,121404
146,119436
147,123454
148,124110
149,126652
150,125012
151,128374
152,128825
153,130588
154,131859
155,133376
156,133622
157,135836
158,134155
159,138460
160,138296
161,141576
162,142314
163,142601
164,141330
165,146250
166,145512
167,144364
168,148833
169,149038
170,149858
171,150965
172,152359
173,153548
174,158181
175,159083
176,156459
177,158755
178,163880
179,166955
180,167160
181,166955
182,171383
183,171014
184,174663
185,179747
186,179870
187,178230
188,184462
189,182166
190,182699
191,183478
192,188972
193,188808
194,191801
195,195614
196,192539
197,195327
198,197664
199,197377
200,198935
201,203281
202,203404
203,204511
204,211891
205,208775
206,211686
207,211399
208,212834
209,215745
210,216934
211,214966
212,220952
213,220050
214,224273
215,221526
216,230013
217,233006
218,231776
219,239402
