n,Simple_Multiplication,Karatsuba
1,65,3
2,152,85
3,262,208
4,395,208
5,560,495
6,748,782
7,959,741
8,1202,1233
9,1468,1397
10,1760,1561
11,2075,1766
12,2419,1848
13,2792,2627
14,3188,3037
15,3610,2791
16,4058,3652
17,4532,4103
18,5032,4226
19,5558,4308
20,6110,5005
21,6685,5538
22,7292,5989
23,7922,6317
24,8578,6891
25,9260,7506
26,9965,8121
27,10702,8654
28,11462,8777
29,12248,9515
30,13060,10745
31,13898,10335
32,14762,10089
33,15652,11647
34,16568,12057
35,17510,12180
36,18475,12344
37,19472,13902
38,20492,13861
39,21535,14312
40,22610,15829
41,23708,15624
42,24832,16362
43,25982,16977
44,27158,17674
45,28360,17510
46,29585,19929
47,30842,19806
48,32122,20216
49,33428,22389
50,34757,22881
51,36118,23127
52,37502,22758
53,38912,24849
54,40348,26448
55,41810,25915
56,43298,27801
57,44812,27309
58,46352,28334
59,47918,30630
60,49510,29728
61,51125,30548
62,52772,31409
63,54442,32885
64,56135,32352
65,57857,34361
66,59608,33705
67,61382,35960
68,63182,36821
69,65008,37723
70,66860,40429
71,68738,39486
72,70639,39363
73,72569,39732
74,74528,40429
75,76510,43053
76,78515,42397
77,80552,43791
78,82612,44447
79,84698,45923
80,86807,45554
81,88945,47522
82,91112,47153
83,93302,48383
84,95518,48793
85,97760,49695
86,100028,51007
87,102322,53180
88,104642,51581
89,106988,54943
90,109360,57075
91,111758,57444
92,114179,56706
93,116632,58510
94,119108,59699
95,121610,61667
96,124135,63799
97,126692,63840
98,129269,63020
99,131878,67120
100,134510,66300
101,137165,68842
102,139849,69252
103,142562,71794
104,145298,70933
105,148060,73598
106,150845,73598
107,153659,72163
108,156499,74664
109,159368,76591
110,162260,77985
111,165178,81183
112,168122,81757
113,171092,82823
114,174088,84217
115,177110,84955
116,180158,84176
117,183232,86062
118,186332,88030
119,189455,90572
120,192610,90654
121,195788,94016
122,198989,94549
123,202222,94918
124,205478,94057
125,208760,96353
126,212068,95861
127,215402,97542
128,218759,100248
129,222145,100535
130,225560,100412
131,228998,104963
132,232462,105004
133,235949,106521
134,239468,104266
135,243007,110252
136,246578,109432
137,250172,111195
138,253792,112056
139,257438,113942
140,261110,113163
141,264808,114844
142,268532,115664
143,272282,116976
144,276058,119805
145,279857,121322
146,283688,119518
147,287542,123454
148,291422,123085
149,295328,123905
150,299257,123577
151,303218,128005
152,307202,130670
153,311212,130342
154,315248,133417
155,319310,135057
156,323398,134565
157,327512,135221
158,331652,137271
159,335818,137230
160,340010,142560
161,344228,140469
162,348472,141002
163,352742,143011
164,357038,144118
165,361360,141658
166,365705,145553
167,370082,149079
168,374482,145963
169,378908,146332
170,383360,149530
171,387838,151662
172,392342,152277
173,396872,152769
174,401425,155885
175,406010,159985
176,410618,160846
177,415249,161953
178,419909,163306
179,424598,162322
180,429310,166709
181,434048,168759
182,438812,171670
183,443602,171629
184,448418,178271
185,453260,174909
186,458125,170317
187,463019,174868
188,467942,180895
189,472888,184380
190,477860,181059
191,482858,189464
192,487879,185446
193,492932,185159
194,498005,190489
195,503110,189628
196,508238,192129
197,513392,194302
198,518569,193605
199,523775,197828
200,529010,198689
201,534268,202297
202,539552,203896
203,544862,204511
204,550198,203076
205,555560,208775
206,560948,212219
207,566362,211973
208,571802,218082
209,577268,218861
210,582760,215950
211,588278,217754
212,593822,217877
213,599392,215786
214,604988,223084
215,610610,223822
216,616258,225585
217,621932,229111
218,627632,228906
219,633358,233580
220,639107,233416
221,644885,234277
222,650692,241575
223,656522,239812
224,662378,244486
225,668257,242969
226,674168,250431
227,680102,247397
228,686059,249324
229,692048,255679
230,698060,258918
231,704098,251128
