n,Simple_Multiplication
1,71
2,174
3,316
4,506
5,732
6,1006
7,1319
8,1674
9,2071
10,2510
11,2991
12,3511
13,4079
14,4683
15,5332
16,6023
17,6759
18,7534
19,8351
20,9210
21,10111
22,11054
23,12039
24,13063
25,14135
26,15246
27,16399
28,17594
29,18831
30,20110
31,21431
32,22794
33,24199
34,25646
35,27135
36,28666
37,30239
38,31854
39,33511
40,35210
41,36951
42,38734
43,40559
44,42426
45,44335
46,46286
47,48276
48,50314
49,52391
50,54510
51,56668
52,58874
53,61119
54,63406
55,65735
56,68106
57,70519
58,72974
59,75468
60,78010
61,80591
62,83214
63,85879
64,88586
65,91335
66,94126
67,96959
68,99834
69,102751
70,105710
71,108711
72,111754
73,114839
74,117966
75,121132
76,124346
77,127599
78,130894
79,134231
80,137610
81,141031
82,144494
83,147999
84,151546
85,155132
86,158766
87,162439
88,166154
89,169908
90,173710
91,177548
92,181434
93,185359
94,189323
95,193335
96,197383
97,201476
98,205614
99,209791
100,214010
101,218271
102,222574
103,226919
104,231306
105,235735
106,240206
107,244719
108,249274
109,253871
110,258510
111,263191
112,267914
113,272679
114,277483
115,282335
116,287226
117,292159
118,297134
119,302151
120,307207
121,312311
122,317454
123,322639
124,327866
125,333135
126,338443
127,343799
128,349194
129,354631
130,360110
131,365631
132,371194
133,376796
134,382446
135,388135
136,393866
137,399639
138,405454
139,411311
140,417210
141,423151
142,429131
143,435159
144,441226
145,447335
146,453486
147,459679
148,465914
149,472188
150,478510
151,484871
152,491274
153,497719
154,504206
155,510735
156,517306
157,523919
158,530574
159,537271
160,544010
161,550788
162,557614
163,564479
164,571386
165,578335
166,585326
167,592359
168,599434
169,606548
170,613710
171,620911
172,628154
173,635439
174,642766
175,650132
176,657543
177,664999
178,672494
179,680031
180,687610
181,695231
182,702894
183,710599
184,718346
185,726132
186,733963
187,741839
188,749754
189,757711
190,765710
191,773751
192,781834
193,789956
194,798126
195,806335
196,814586
197,822879
198,831214
199,839591
200,848010
201,856471
202,864971
203,873516
204,882106
205,890732
206,899406
207,908119
208,916871
209,925671
210,934510
211,943391
212,952311
213,961279
214,970283
215,979335
216,988426
217,997559
218,1006734
219,1015951
220,1025207
221,1034511
222,1043851
223,1053236
224,1062666
225,1072135
226,1081646
227,1091199
228,1100794
229,1110431
230,1120110
231,1129828
232,1139591
233,1149399
234,1159246
235,1169135
236,1179066
237,1189039
238,1199051
239,1209111
240,1219210
241,1229351
242,1239534
243,1249759
244,1260026
245,1270335
246,1280686
247,1291079
248,1301514
249,1311991
250,1322510
251,1333068
252,1343674
253,1354319
254,1365006
255,1375732
256,1386503
257,1397319
258,1408174
259,1419068
260,1430010
261,1440988
262,1452014
263,1463079
264,1474186
265,1485335
266,1496526
267,1507759
268,1519034
269,1530351
270,1541710
271,1553108
272,1564554
273,1576036
274,1587563
275,1599135
276,1610746
277,1622399
278,1634094
279,1645831
280,1657610
281,1669431
282,1681294
283,1693199
284,1705146
285,1717135
286,1729166
287,1741239
288,1753351
289,1765511
290,1777710
291,1789951
292,1802234
293,1814559
294,1826926
295,1839335
296,1851786
297,1864279
298,1876814
299,1889391
300,1902010
301,1914668
302,1927374
303,1940119
304,1952906
305,1965735
306,1978606
307,1991519
308,2004474
309,2017471
310,2030510
311,2043591
312,2056714
313,2069879
314,2083086
315,2096335
316,2109623
317,2122956
318,2136334
319,2149751
320,2163207
321,2176711
322,2190254
323,2203839
324,2217466
325,2231135
326,2244846
327,2258599
328,2272394
329,2286231
330,2300110
331,2314031
332,2327994
333,2341999
334,2356043
335,2370135
336,2384266
337,2398439
338,2412654
339,2426911
340,2441210
341,2455551
342,2469934
343,2484356
344,2498826
345,2513335
346,2527886
347,2542476
348,2557114
349,2571791
350,2586510
351,2601271
352,2616071
353,2630919
354,2645806
355,2660735
356,2675706
357,2690719
358,2705774
